月別,台灣-加權指數,台灣-上櫃指數,美國-那斯達克指數,美國-道瓊工業指數,日本-日經225指數,新加坡-海峽時報指數,南韓-綜合指數,倫敦-金融時報指數,中國-上海綜合指數,中國-香港恆生指數
2024-01,17890,237,15164,38150,36287,3153,2497,7631,2789,15485
2024-02,18967,249,16092,38996,39166,3142,2642,7630,3015,16511
2024-03,20294,252,16379,39807,40369,3224,2747,7953,3041,16541
2024-04,20397,249,15658,37816,38406,3293,2692,8144,3105,17763
2024-05,21174,258,16735,38686,38488,3337,2637,8275,3087,18080
2024-06,23032,273,17733,39119,39583,3333,2798,8164,2967,17719
2024-07,22199,262,17599,40843,39102,3456,2771,8368,2939,17345
2024-08,22268,275,17714,41563,38648,3443,2674,8377,2842,17989
2024-09,22225,268,18189,42330,37920,3585,2593,8237,3337,21134
2024-10,22820,264,18095,41763,39081,3559,2556,8110,3280,20317
2024-11,22263,257,19218,44911,38208,3739,2456,8287,3326,19424
2024-12,23035,256,19311,42544,39895,3788,2399,8173,3352,20060
2025-01,23525,253,19627,44545,39572,3856,2517,8674,3251,20225